,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10313,4938,6434,2079,1854,,658,,,,,,,,,,,,421,
10320,8199,4956,593,1672,,,111,,,,,,141,,477,,235,,
10323,3464,4680,3567,2878,815,415,,,,,345,,,,,,,220,
10326,5516,3213,1680,3413,914,931,505,,,,,,,,137,,75,,
10329,4617,1799,4168,643,1401,2326,,,,1430,,,,,,,,,
10332,4103,8275,564,2136,485,,702,,,,,,119,,,,,,
10334,7270,7652,638,226,383,,,,,,,,,,,,,215,
10336,3752,1131,5839,468,1984,1600,,,,1610,,,,,,,,,
10370,10886,1772,1573,515,276,520,,,,808,,,,,34,,,,
10373,4597,5870,1547,3925,,,,,,,,,,105,340,,,,
10375,6618,550,4168,1553,2151,1066,,,,,,,,,,,,,278
10378,8545,6656,,1024,,,,,,,,,,,159,,,,
10383,4125,9036,,1587,241,239,,,,,,,,,203,,168,785,
10394,5585,8945,929,760,,,,,,,,,,,,,,165,
10401,6862,6305,654,737,747,,,,,,,,,,473,,,,606
10413,3736,3996,3536,2381,,1090,,,,,1171,,,,,,,474,
10425,5257,2902,5325,,387,2204,,,,,,,,,309,,,,
10426,6692,3958,1021,4267,150,,,,,,,199,,,,,,97,
10431,7791,375,3136,,1050,2995,1037,,,,,,,,,,,,
10442,6428,6595,230,2206,,551,374,,,,,,,,,,,,
10454,6239,2566,5609,926,,,,,,279,,,,,765,,,,
10461,4263,361,6667,,1371,2105,,,,1617,,,,,,,,,
10476,3994,6916,2614,1791,,276,,,,,292,,,,501,,,,
10480,6271,8290,823,564,,,,,,,,,,436,,,,,
10481,5951,4524,747,4856,,,306,,,,,,,,,,,,
10486,6656,6301,655,228,1351,,,,,,,,,,1193,,,,
10487,4391,5366,2806,2747,,,,,,,165,,,,909,,,,
10488,6170,6326,813,1968,,,,,,,680,,,,427,,,,
10490,4436,2830,3167,3216,619,1586,,,,,,,,,,,,530,
10509,5163,4934,,5081,,,,,,,,,,,1206,,,,
10511,5240,5316,771,3580,702,,,,,,134,,,,641,,,,
10513,6823,3510,727,,,1255,707,,,3362,,,,,,,,,
10517,5505,5011,1900,3426,131,,,,,,,,411,,,,,,
10519,4138,5206,1859,3349,848,,,,,,,,572,,412,,,,
10520,3586,661,7979,1824,737,858,,,,739,,,,,,,,,
10527,6711,2477,1459,4439,,878,,,,,,,,,363,,57,,
10528,4181,7689,732,3220,,104,,,,,209,,,,249,,,,
10531,3129,4700,3203,4259,392,,,,,,193,,,,508,,,,
20019,8087,711,1120,319,270,,119,2140,175,741,,1257,1093,99,229,,24,,
20022,9603,169,783,112,,,,,201,,,276,2034,,333,,1139,,1734
20023,13803,322,,,,,,,,,,,45,1494,,,720,,
20028,10366,923,852,21,,,,919,439,,,756,,,1802,,,,306
20031,10575,915,29,440,,,,,,,,2564,551,,,,,,1310
20042,8698,1807,62,,,235,,1825,,,,1587,125,,715,,,,1330
20058,10459,970,,,335,,161,784,2091,,,789,150,165,480,,,,
20060,3483,608,,,348,534,,1120,4822,,,5469,,,,,,,
20062,8159,1977,359,,215,,681,533,4113,,,,,,347,,,,
20063,7604,1999,,509,,,,899,,953,,3942,,,478,,,,
20068,9606,744,749,556,,,,58,116,546,,342,2497,,1006,,78,,86
20080,12771,,,,,,,,505,,,,2697,,411,,,,
20084,10748,974,,,,,,1168,322,,,2482,99,,271,,,,320
20094,13866,477,,,,,,,,,,76,645,315,254,,21,,730
20109,8235,326,571,,,,58,1064,5463,,,74,382,,161,,50,,
20114,9257,2986,,,,,,,3857,,,,,,,,284,,
20118,4558,938,155,1439,211,,,2659,1001,1053,,3991,,,236,,,,143
20122,11530,4541,77,,,,123,,,,,,,,113,,,,
20123,9051,574,,,1694,,,1467,2813,,,572,50,,163,,,,
20127,10784,760,,,,,658,1515,1473,,,,876,,,,318,,
20128,6945,246,302,,,,,2109,,,,6782,,,,,,,
20130,14239,,,,,,,,,,,171,616,71,,,1287,,
20131,14275,1360,,,,,,,,,,,,,,,,749,
20139,13784,617,788,,,,929,,,,,226,,,40,,,,
20145,10778,207,,,,,,,3468,,,,196,,,,1735,,
20149,4291,134,,,,,,3473,3728,,,1917,2076,,,,155,,610
20155,11742,1029,,,241,,,,,,,564,814,71,1923,,,,
20160,10599,129,,,,,,,4037,,,,172,,419,,1028,,
20164,13354,,,,,,,,184,,,,,,178,,2668,,
20166,12415,3657,,,,,,,,,,,,75,237,,,,
20172,7819,4463,,,302,,,,278,,,1963,1200,,338,,21,,
20180,14237,923,,,,,,,,42,,,1127,55,,,,,
20181,10023,407,472,,,,,,1726,,,2614,,,540,,602,,
20192,8443,28,,53,,,,101,6514,,,917,24,304,,,,,
20193,10763,164,,,,,67,802,3319,668,,,,,312,,,,289
20195,11880,955,,,,629,67,,1819,,,23,57,,45,,720,,189
20201,9786,853,254,,,,,,4358,,,,,,464,,628,,41
20205,7729,2224,,805,,,,1232,587,,,741,1753,,1313,,,,
20206,6169,696,,,,,,,4600,,,,,,,,4919,,
20210,11845,74,,,143,,,111,,,,602,838,,1142,,1629,,
20222,13579,407,,246,291,,551,,221,,,485,,,604,,,,
20224,10424,465,,,,,,,2824,,,1914,,,237,,520,,
20225,9285,640,97,,,,,,4753,,,354,687,,216,,332,,20
20227,9072,4486,,,,,,,,,617,402,,,1807,,,,
20231,8068,572,,,,,,,6787,,,,,186,22,,749,,
20235,6052,4857,,,,,984,,,,,,,,4491,,,,
20238,9875,691,,104,57,,,451,3792,,,,,,1280,,,,134
20242,9066,2356,209,,,,942,,,,,2741,1070,,,,,,
20245,5166,2245,,,,,,,3490,,,1110,,,942,,3431,,
20249,10366,3941,,,,,55,,,,,,,,1647,,,375,
20257,14247,759,,,,,,333,,,,1006,,,39,,,,
20263,11306,20,,,,,,208,3562,,,,482,,,,806,,
20265,9950,482,,,557,,,,3002,,,495,,,1898,,,,
20280,10655,,,,,,,321,2731,,,,872,,,,1805,,
20281,10703,145,,,,806,,750,,,,824,,,494,,2662,,
20282,12716,3668,,,,,,,,,,,,,,,,,
20283,15135,1249,,,,,,,,,,,,,,,,,
20285,10747,5637,,,,,,,,,,,,,,,,,
20286,12085,4299,,,,,,,,,,,,,,,,,
20297,7386,1100,,,,,1408,,1827,,,1278,,,3385,,,,
20298,14002,77,,,,,,,,,,443,1862,,,,,,
20311,15310,550,,,,,,,,,,,61,,198,,,,265
20314,13371,2443,,,,,,,,,,,,,170,,,,400
20315,7602,3492,,,,,,2721,,,,2470,,,99,,,,
20319,7325,1278,,,,,,127,473,,,1199,2516,,1514,,1952,,
20320,12839,2233,,,,,,,302,,,,48,,325,,192,,445
20326,8968,303,837,,693,,,116,4468,,,,,,516,,483,,
20330,13299,,,,,,,629,220,,,1187,366,,197,,,,486
20340,4043,174,,,,,,,8606,,,,,,422,,3139,,
20343,10381,95,,,,,,,,,,1308,1831,,587,,2182,,
20344,4237,1359,,,,,,,5136,,,,79,,4351,,1222,,
20353,13581,215,,,,,,,724,,,1106,685,,73,,,,
20358,11575,1074,,,,,,533,,,,2001,,,248,,,,953
20359,12079,549,,181,,,,1057,1366,,,303,849,,,,,,
20364,6120,2102,,,,,,,,,,8162,,,,,,,
20380,10606,860,149,,,,,,,,,,637,,,,4132,,
20385,8947,1090,208,,,,,1722,569,,,2298,405,,530,,615,,
20386,14656,455,,,,,,,,,,,,,1156,,,,117
20389,11494,72,,,,,,,3408,,,,528,,416,,466,,
20394,6233,673,,,678,124,,1047,5418,,,638,373,,1200,,,,
20408,9680,140,,,,,,,4693,,,,139,,325,,1407,,
20411,11613,1206,,,74,,,,2420,,,611,,,78,,382,,
20412,9142,103,,,,,,,6830,,,,210,,,,99,,
20413,9692,183,,,95,,,,5990,,,,,,325,,99,,
20414,9220,3952,,,,,,472,322,,658,,,,1599,,,,161
20416,14410,1858,,,,,,,,,,,,,,,116,,
20421,15236,363,,,,,,,,,,,,,785,,,,
20423,4728,680,,,,,,,4835,,,,2005,,,,4136,,
20430,11927,3736,,,480,,,,,,241,,,,,,,,
20432,12392,986,191,,,,171,,2347,,,,,67,,,230,,
20440,11453,4931,,,,,,,,,,,,,,,,,
20441,13017,910,,,,,,392,356,,,730,,979,,,,,
20443,11574,,,,,,,,95,,,,,,328,,4387,,
20463,14519,700,,,,,,209,,,,452,,,451,,,,53
20468,4343,5604,,,456,,184,,3424,,,1239,125,,1009,,,,
20474,7749,7412,,,,,,,,,,,,,1223,,,,
20489,11461,102,,,1342,,,,,,,3479,,,,,,,
20492,10321,6063,,,,,,,,,,,,,,,,,
20498,7989,,,,,,,3764,,,,2750,1881,,,,,,
20514,12677,2371,,,,,,,,,,,,,983,,,92,261
20519,14561,,,,,,,,,,,,,,1766,,,,57
20524,10149,160,,,,,,,5560,,,,,,515,,,,
20525,10038,48,,,,,,,6298,,,,,,,,,,
20527,10575,760,,,,,,627,458,,,725,1960,,,,1279,,
20529,11000,140,,,,,,,5055,,,,,,189,,,,
20535,13498,1765,,,372,,,,,,182,,,,567,,,,
20539,10210,,,,,,,,5949,,,,91,,,,134,,
20543,4151,10762,,,,,,592,,599,,,,,280,,,,
20547,14109,,,,,,,,1630,,,,341,,,,304,,
20550,11828,,1534,590,,,,,283,,,332,1017,354,252,,94,,100
20557,10480,281,,,,,,,5364,,,,259,,,,,,
20561,12732,276,97,,,,1352,,1730,,,,163,,,,34,,
20563,12818,1673,,,,,,421,980,,,169,323,,,,,,
20565,9997,2300,,,,,,78,3019,,,219,,,,,771,,
20576,7422,67,2056,1516,,,,1311,,,,,,286,2628,627,,,471
20585,6693,1888,,,,,223,,3348,,,,,,271,,3961,,
20587,14284,540,,,,,,,1526,,,,,,,,34,,
20589,15708,62,,,,,269,,345,,,,,,,,,,
20590,7975,85,495,,,,221,558,5477,,,90,65,,1388,,30,,
20596,14108,382,,,,,,,,,,,,,1677,,217,,
20600,13304,392,93,,,,,,1364,,,,135,,1096,,,,
20604,12112,403,,,305,,,948,1278,231,,278,,,,,,,829
20605,8866,3923,,,,,,1361,,,,2234,,,,,,,
20609,10238,,,,,,,2306,,,,1605,,,2235,,,,
20615,9969,570,,,,,,,3921,,,240,71,,,,1613,,
20618,7722,196,,,167,,,,7965,,,,,,,,334,,
20626,14840,520,,,223,,,,,,,485,,,316,,,,
20640,9591,376,,,,396,,,4998,,,977,,,,,46,,
20655,15876,508,,,,,,,,,,,,,,,,,
20657,11254,,,,,,,,1760,,,,,,572,,2798,,
30000,9651,1527,,1058,119,,,,,,,,2607,1222,200,,,,
30003,6270,4045,2631,1484,1441,425,,,,,,,88,,,,,,
30007,8065,1821,580,3209,450,,,,,,200,,1151,459,,449,,,
30010,7764,2220,,2085,,,,,,,526,,96,,,1418,,,2275
30014,6723,3234,,2299,,,,,,,,,,,,4128,,,
30030,8723,6376,733,,187,140,,225,,,,,,,,,,,
30031,7705,1315,1601,373,125,3416,,40,48,,,,,,970,791,,,
30037,4906,3822,2332,4073,280,188,,,,,,,,,158,,,,625
30038,6485,6183,566,132,901,514,,,82,,,,,,275,595,,651,
30040,9648,4523,,,,,165,,1907,,,,,,141,,,,
30041,8769,5461,1041,,351,,,,,,423,,,,85,,,,254
30042,5045,2185,3939,157,,1697,,2286,,,,,105,,,843,127,,
30043,10415,2684,,1160,,,,,,,1559,,,,,,,566,
30045,8978,3024,,687,836,,,,,,78,,1707,659,,,,,415
30058,9264,2904,135,,1031,,,,76,,136,,,,2352,,,486,
30059,6732,6526,565,1743,79,,,,,,,,,,,213,,526,
30061,5185,846,3291,1505,1600,1966,,224,1011,,,,,,242,514,,,
30064,4658,5577,1622,2711,,,,,,,,,,,247,,,1569,
30072,6666,5455,,1410,1815,,,76,,,246,,,165,,92,,459,
30076,9220,5999,,611,,,,,,,500,,,,54,,,,
30079,7882,5205,957,1013,,,,,,,,,,,391,803,,133,
30083,4641,2383,1188,1350,485,2036,,488,,,,,,,910,2794,,109,
30084,5478,5535,455,2954,,423,,,,,335,,,,,,,1204,
30086,10081,1759,1123,,,,449,,1885,,,,,,811,136,,,140
30087,4270,5416,1138,2686,320,693,,,,,357,,,158,308,1038,,,
30106,11813,3931,,503,,,,,,,,,,89,,,,,48
30114,6478,3349,,,,,,,6115,,,66,,,376,,,,
30119,9145,4579,659,309,,386,,,639,,,,,,,,,667,
30124,8535,867,596,3015,,1061,,735,,,,,,,125,951,,,499
30142,5699,1842,2171,3533,1523,,,,,,,,,,,705,,,911
30145,7511,7400,,279,,,,,,,,,,,,,,1194,
30149,9846,5353,,938,217,,,,,,,,30,,,,,,
30151,4245,3542,3438,2885,365,300,,,,,,,,,,1609,,,
30157,9974,6049,29,,,,,,,,,,,,,,,332,
30158,9687,4174,1421,289,,,,,,,,,,,,303,,510,
30163,10352,3577,317,952,,,,,,,,,,,524,454,,,208
30171,5275,4853,1405,,1070,339,,1496,215,,,,,,1055,383,,293,
30173,2661,4756,4043,2273,,507,,,,,392,,,,100,1652,,,
30176,9695,300,1974,2856,814,,,,,,313,,,,,,,,432
30184,8841,4009,82,873,362,,,272,,,,,,,937,340,,668,
30186,8667,3806,131,2985,,,,,,,,,,,323,,,346,126
30189,8541,2890,366,,,,,,4113,,,,147,,327,,,,
30192,3382,1316,1001,7800,1385,,,,,,,,132,124,,1244,,,
30194,9431,1579,1071,815,,,,,,,2830,419,,,,192,,47,
30195,7912,3280,1277,,1432,403,,,,,,,,,1914,,,166,
30198,4680,29,2359,5735,91,3106,,,,,,,,384,,,,,
30215,10074,5734,,,576,,,,,,,,,,,,,,
30223,11615,353,636,117,,311,,,3074,,,,,,,278,,,
30226,5377,1194,2755,511,1024,3653,,1870,,,,,,,,,,,
30231,3353,12128,,,,,,,,,225,,,,,,,678,
30239,7323,1049,1666,4824,649,,,334,,,,,327,212,,,,,
30243,11190,1451,774,1365,,,,,,,1173,,,,,,,,431
30244,6914,3160,2221,408,1871,,,,,,726,,,,,1084,,,
30249,5323,4536,1185,1863,2308,,,,,,387,,,,355,,,427,
30254,7603,323,3896,,,132,,1980,,,,,,,,2450,,,
30258,6915,3941,625,827,1112,,,1418,,,1403,,,,,,,95,48
30262,7968,2037,1499,1036,366,400,,,433,,,,,,1202,1443,,,
30267,7851,6544,308,,,,,,,,1681,,,,,,,,
30275,6623,1748,865,2029,738,1197,,,,,,,,,,3184,,,
30277,9450,2866,575,1494,,786,,,,,591,,,,622,,,,
30285,8092,3701,1182,,1455,408,,,,,,,,,,1546,,,
30290,4408,2187,1000,6055,815,1655,,,,,,,,,,264,,,
30295,4987,2562,4514,1437,1387,,,,,,,,,,,,,,1497
30298,6318,223,275,1048,2356,1448,,1067,553,,,,,,,3096,,,
30300,9439,5647,,575,505,,,,,,,,,,,,,218,
30308,10404,4463,,,,,,218,,,,,,,1299,,,,
30313,9104,6275,73,62,811,,,,,,28,,,31,,,,,
30319,6782,2476,1509,3756,498,,,,,,,,,,436,880,,47,
30321,10162,312,1730,2913,374,,144,,176,,,,120,,,453,,,
30323,8659,4396,559,1348,,,,,,,739,,,,,126,,,557
30330,8751,4659,715,497,83,,,,,,925,,,,,,,,754
30333,6066,1099,2592,2388,1700,765,,,,,,,,,282,1492,,,
30334,11607,867,,,,,,,3910,,,,,,,,,,
30349,8730,1898,1445,2300,,545,136,529,,,,,,,,801,,,
30352,6709,7364,1803,,268,,,,,,,,,,,,,192,48
30356,11943,3486,,,220,,,,,,267,,,,,,,468,
30360,7542,1707,4172,,1309,,,,,,,,,,,1654,,,
30361,5545,6462,609,1389,498,1251,,,,,630,,,,,,,,
30366,6759,6030,760,1880,76,,,,,,578,,,,,301,,,
30368,8883,3789,408,,263,,,,,,1174,,,,,1867,,,
30372,6925,3185,2504,391,186,1983,,,,,,,,,,1210,,,
30373,6543,3073,1344,2397,1771,,,513,,,743,,,,,,,,
30385,7778,3094,2084,,1624,1060,236,,,,57,,,,,,,451,
30388,9588,1452,,1350,,2747,,,,,,,,,,1247,,,
30392,8055,7085,,405,86,,,,,,595,,,,,,,158,
30418,6063,592,3480,4428,82,1739,,,,,,,,,,,,,
30419,5492,10168,,,146,,,,,,578,,,,,,,,
30436,5398,960,1141,1451,838,4215,,,,,,,,,,2381,,,
30437,5711,3712,3085,2663,490,,,,,,,,,,,723,,,
30443,11052,5056,,,,,,,,,276,,,,,,,,
30445,10859,2856,,1349,417,,,,,,114,,,,,506,,,283
30450,4742,4421,2731,1758,462,,273,,1346,,,,,,651,,,,
30452,7599,7610,,507,,,,,,,,,343,,100,,75,150,
30461,4792,4315,4408,,964,1060,,,327,,,,,,518,,,,
30471,7777,4019,,,,,,,4588,,,,,,,,,,
30475,7752,7143,,,764,,303,,,,81,,,,285,56,,,
30483,6041,4823,1231,842,427,1243,,,,,273,,,,,1504,,,
30495,3252,954,4172,2208,827,2780,,,,,,,,,,2191,,,
30496,13797,2211,,,,,,,,,,,,,,,,246,130
30497,8940,2889,644,2495,310,1031,75,,,,,,,,,,,,
30499,7785,2008,913,4409,607,,550,,,,,,,,,112,,,
30501,7358,1531,753,3709,,407,,217,,,,,,,254,2155,,,
30504,10538,1843,411,1116,893,,,,,,,,77,,,1382,,124,
30507,5300,9904,258,,697,,,,,,,,,,,,,225,
30513,5150,9461,,790,,,,,,,718,,,,265,,,,
30523,11026,4332,120,,499,,,,,,,,,,,,,407,
30525,10858,,,,,,,,5526,,,,,,,,,,
30528,5468,3105,3371,2243,1722,411,,,,,41,,23,,,,,,
30530,14415,1394,,280,213,,,,,,82,,,,,,,,
30532,8310,7615,,,,,,,,,459,,,,,,,,
30545,6471,152,4644,2363,367,356,,,,,,,,,,2031,,,
30546,7042,6795,1191,,452,583,,,,,,,,,,147,,174,
30558,4870,7514,2045,472,,,,,,,1298,,,,,185,,,
30559,8761,4638,986,744,469,725,,,,,,,,,,,,61,
30561,13612,2065,,,,,,,,,369,,,338,,,,,
30563,10679,3295,,726,,,,,867,,,,,,,817,,,
30573,5670,6511,394,,1552,,,,,,913,,,,1344,,,,
30574,15345,861,,,,,,,,,,,,,178,,,,
30586,7040,7840,,927,577,,,,,,,,,,,,,,
30611,4959,2776,1370,4114,590,,,,,,389,,,,,2186,,,
30618,10766,493,589,1107,846,1990,,,,,,,,,396,197,,,
30619,4475,3644,1798,1217,2597,419,,,,,,,,,,2234,,,
30627,10410,4577,102,,458,,,,,,,,,,159,,,,678
30631,13866,2173,,,,,,,345,,,,,,,,,,
30641,5800,9768,309,507,,,,,,,,,,,,,,,
30643,5205,761,3829,911,3008,1347,,,,,,,682,,,641,,,
30653,3887,7381,657,2149,970,170,,1170,,,,,,,,,,,
30656,8068,2544,1343,1684,,1710,,,,,,,,,708,327,,,
30662,5771,7106,274,590,,,,,,,,,,,,2643,,,
30667,7279,3156,324,2443,1554,950,,,,,,,,,,678,,,
30676,8366,1188,2316,3407,190,230,,,,,,,,,105,582,,,
30677,7130,5214,1135,171,,1338,,317,,,,,,,,1079,,,
30679,7451,5725,1447,752,,,,,,,507,,,,328,174,,,
30693,9510,4511,48,,330,,133,,1164,,,165,,,523,,,,
30695,12092,1527,715,922,,,,,,,603,,,,,,,525,
30699,4975,4264,1337,4537,544,,,171,,,,,152,,343,,61,,
30700,7769,8615,,,,,,,,,,,,,,,,,
30701,11005,5379,,,,,,,,,,,,,,,,,
30709,14632,1752,,,,,,,,,,,,,,,,,
30711,12207,4177,,,,,,,,,,,,,,,,,
30723,7725,8346,,112,158,,,,,,,,,43,,,,,
30725,10513,1620,,,,,,,4251,,,,,,,,,,
30732,8310,890,2225,3988,764,,116,,,,91,,,,,,,,
30733,11396,1212,,,442,,,,2915,,,,,,419,,,,
30737,6794,7225,,1696,,,,,,,405,,,,,,,264,
40000,2566,,4666,4873,,,,,,,,261,535,2753,730,,,,
40001,3681,199,719,5294,,,,,,622,,,3711,1664,,494,,,
40006,1858,34,4442,5630,,402,,,,3854,,,164,,,,,,
40011,3369,,880,10028,78,,,,,944,,,132,771,,182,,,
40014,5399,43,1883,5828,,,,,,3073,,,110,48,,,,,
40021,10844,2670,159,63,61,,,,424,,,,,39,222,,1703,,199
40022,7699,1148,983,4003,,373,,,131,394,,,,53,,1052,67,418,63
40023,6050,1198,2911,3809,,,,,,981,,,,785,491,,,159,
40027,6682,1945,3104,174,,378,3717,200,,,,,,,,132,52,,
40043,11987,1120,795,1107,235,,,,,,,,,302,43,795,,,
40046,7043,341,1036,5442,150,,,,,,,,,117,26,972,24,,1233
40054,5558,2568,1661,1612,1121,423,1357,947,,,195,,,,178,,764,,
40063,3887,76,2691,3659,,,,,,,269,152,2689,2961,,,,,
40070,3380,718,4434,6477,,,,,,1284,,,35,39,,,17,,
40073,4772,439,4437,4113,36,563,,1245,,779,,,,,,,,,
40078,6187,1447,589,3413,895,,,86,,2914,,259,,,,594,,,
40084,4202,232,2273,7418,64,1258,,,,808,,,66,,,,63,,
40085,10158,1641,761,428,,738,2532,,,,,,,,,,126,,
40087,7043,72,1266,7079,,,,,,,,,84,840,,,,,
40090,4904,7256,481,290,1300,,,,,,1510,,,,,,,643,
40097,6653,3291,2840,323,785,855,185,,,,,,,,394,,1058,,
40099,3443,634,3949,6179,489,626,447,,,315,,130,,,,,,,172
40106,8633,437,712,4914,473,,,,,1016,,,,,65,,,134,
40107,5430,1085,2937,4927,,289,,,,,352,,57,413,,894,,,
40117,6660,1266,1337,5545,264,,,,,772,,,,540,,,,,
40129,14160,2224,,,,,,,,,,,,,,,,,
40132,15214,1170,,,,,,,,,,,,,,,,,
40134,7042,7744,,370,451,,299,,,,,,,,175,,,,303
40136,5798,5054,2253,1064,977,,1238,,,,,,,,,,,,
40138,2741,257,3582,6002,,,,,,3738,,,45,,,,19,,
40142,11364,194,1459,150,196,699,,,1985,337,,,,,,,,,
40145,5059,8202,424,2055,,,,,,,605,,,39,,,,,
40146,7869,2795,1312,345,2243,822,,,,,,,,,998,,,,
40160,8808,3172,1020,1210,,858,,,,,1100,,116,100,,,,,
40161,5361,628,2689,5819,,835,1028,,,,24,,,,,,,,
40162,9570,921,675,3042,253,,,,,1521,,,340,62,,,,,
40165,10044,259,1215,3549,60,,,,,1231,,,26,,,,,,
40166,10379,837,883,3517,,,101,,,,,,36,,,631,,,
40184,7986,5452,298,,,,1012,960,,,429,,,,,,,247,
40186,3072,,1107,8362,,,,205,,3638,,,,,,,,,
40188,6173,5005,,2683,162,,,,,,852,,,,474,311,,724,
40189,4211,3199,3165,2326,1604,70,,343,,,,,,,1250,,216,,
40190,3665,98,944,9124,,,,196,,1020,,,940,,197,200,,,
40197,9364,743,1333,3232,,472,72,,,,,,,50,883,,,235,
40206,8444,831,1145,4602,,,,,,,,,,,71,1291,,,
40208,8066,100,390,4831,,,,,,1835,,,78,,,1084,,,
40219,3507,2332,7176,769,549,,591,1160,,,,,,,300,,,,
40222,3651,22,3077,8735,335,,,,,564,,,,,,,,,
40226,6979,3341,1446,3000,,920,,,,213,485,,,,,,,,
40231,4621,2909,3705,1119,1882,,1673,,,,412,,63,,,,,,
40247,10159,866,1238,2453,41,333,406,,,,,,301,164,248,175,,,
40250,5613,4584,446,3204,2103,275,,,,,,,,,159,,,,
40253,4187,41,127,7617,,,401,,,2059,,,,,,1952,,,
40254,12233,440,1543,337,997,36,,,,,575,,,,223,,,,
40256,7310,6472,911,37,248,,,,,,1141,178,,,87,,,,
40258,6489,1238,2147,2506,922,624,390,,,,,,,,2068,,,,
40268,15217,1167,,,,,,,,,,,,,,,,,
40272,8065,3874,1552,1654,,556,,,,,,,,,282,,,401,
40274,6373,1922,1726,4792,85,969,,224,,,189,,,,,104,,,
40276,7161,2619,2971,570,,330,1363,1370,,,,,,,,,,,
40278,9574,847,94,5082,58,,,,,639,,,21,,69,,,,
40279,3427,1649,5045,2073,,918,3080,,,,,,,,192,,,,
40281,5708,3024,1421,1614,1815,1186,410,454,,,,,,,752,,,,
40283,5230,164,2776,7613,442,,,,,,,,,106,,,53,,
40284,9236,4124,958,793,,577,,255,,,,441,,,,,,,
40296,12013,442,2152,1641,,,,,,,,,51,43,,,42,,
40298,4700,3119,288,993,976,796,1821,3691,,,,,,,,,,,
40308,8281,7405,,471,,,,,,,41,,,,,,,,186
40310,7726,579,1575,4909,295,,,,,,,,794,,93,,,413,
